#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09F14: Sheridan R.S. (Old), WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Sheridan R.s. (old) (09F14) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 7790 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:59 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,,,,,,,,,,Mar 27,34,8.6,Apr 29,2,1.0,,,
1937,,,,,,,Feb 27,18,3.0,Mar 26,17,2.7,Apr 30,7,3.0,,,
1938,,,,,,,Feb 28,13,2.9,Mar 29,22,5.2,Apr 30,0,0.0,,,
1939,,,,,,,Feb 25,24,3.1,Mar 29,16,4.1,Apr 27,1,0.5,,,
1940,,,,,,,Feb 28,16,4.0,Mar 28,8,2.7,Apr 29,0,0.0,,,
1941,,,,Jan 24,18,3.7,Mar 01,21,4.6,Mar 28,19,5.7,,,,,,
1942,,,,Jan 30,16,2.3,Feb 26,17,3.0,Mar 26,20,4.1,Apr 28,0,0.0,,,
1943,,,,Jan 29,44,11.8,Feb 28,44,13.6,Mar 27,45,13.6,Apr 28,4,1.5,,,
1944,,,,Jan 31,10,1.5,Feb 26,12,2.7,Mar 29,15,3.9,,,,,,
1945,,,,Jan 31,15,3.3,Feb 24,22,5.4,Mar 25,21,5.8,,,,,,
1946,,,,Jan 30,21,3.0,Feb 25,23,5.1,Mar 29,21,4.2,,,,,,
1947,,,,Feb 01,24,5.4,Feb 27,27,4.4,Mar 31,26,7.6,Apr 29,9,3.0,,,
1948,,,,,,,Feb 26,28,5.7,Mar 29,27,5.8,Apr 28,10,2.0,,,
1949,,,,Jan 25,26,6.0,Feb 26,31,8.2,Mar 28,32,8.2,May 03,0,0.0,,,
1950,,,,Jan 31,26,5.9,Mar 02,23,7.0,Mar 29,28,7.3,Apr 26,8,3.0,,,
1951,,,,Feb 01,29,7.3,Feb 28,34,10.1,Mar 27,36,10.6,Apr 30,14,4.0,,,
1952,,,,Jan 30,24,5.7,Feb 28,29,6.9,Mar 31,28,7.5,Apr 29,0,0.0,,,
