#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 15N07: Rainbow Canyon #2, NV
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Rainbow Canyon #2 (15N07) 
# Nevada  SNOW COURSE/AERIAL MARKER Site - 8140 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:58 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1947,,,,,,,Mar 01,42,15.0,Mar 31,30,12.3,,,,,,
1948,,,,,,,Feb 28,36,10.7,Mar 28,49,14.8,,,,,,
1949,,,,,,,Feb 26,49,16.6,Mar 29,55,20.6,,,,,,
1950,,,,,,,Mar 02,39,12.8,Mar 29,38,13.5,,,,,,
1951,,,,,,,Feb 24,14,2.9,Mar 28,10,2.4,,,,,,
1952,,,,,,,Feb 26,76,28.8,Mar 28,98,36.9,,,,,,
1953,,,,,,,Feb 25,21,5.5,Mar 27,15,4.6,,,,,,
1954,,,,,,,Feb 22,46,16.1,Mar 30,72,23.4,,,,,,
1955,,,,,,,Feb 28,42,13.6,Mar 31,34,12.0,,,,,,
1956,,,,,,,Feb 28,37,13.6,Mar 28,27,11.4,,,,,,
1957,,,,,,,Feb 25,31,11.8,Mar 27,27,12.6,,,,,,
1958,,,,,,,Feb 25,45,14.4,Mar 28,74,24.4,,,,,,
1959,,,,,,,Feb 22,44,11.8,Mar 28,32,10.5,,,,,,
1960,,,,,,,Feb 28,41,13.3,Mar 31,28,10.3,,,,,,
1961,,,,,,,Feb 27,11,2.6,Mar 28,18,4.3,,,,,,
1962,,,,,,,Feb 27,70,23.2,Mar 31,67,26.1,,,,,,
1963,,,,,,,Feb 27,7,2.0,Mar 28,17,5.6,Apr 30,9,4.7,,,
1964,,,,,,,Feb 28,12,2.7,Mar 27,25,7.0,,,,,,
1965,,,,,,,Mar 01,27,8.5,Mar 30,35,10.7,,,,,,
1966,,,,,,,Feb 28,51,17.0,Apr 04,30,12.6,,,,,,
1967,,,,,,,Feb 28,20,7.6,Mar 28,24,12.9,,,,,,
1968,,,,,,,Feb 27,42,13.1,Apr 01,43,16.0,,,,,,
1969,,,,,,,Feb 28,137,45.0,Mar 27,118,48.3,,,,,,
1970,,,,,,,Feb 25,12,5.0,Mar 30,20,7.3,,,,,,
1971,,,,,,,Feb 27,34,12.8,Mar 29,23,8.1,,,,,,
1972,,,,,,,Feb 29,32,13.8,Mar 31,15,7.7,,,,,,
1973,,,,,,,Feb 28,76,21.0,Mar 30,97,28.1,,,,,,
1974,,,,,,,Feb 27,37,11.8,Mar 28,35,13.1,,,,,,
1975,,,,,,,Feb 27,18,4.9,Mar 24,37,10.4,,,,,,
1976,,,,,,,Feb 27,30,9.3,Mar 29,27,10.8,,,,,,
1977,,,,,,,Feb 28,10,3.4,Mar 31,9,2.4,,,,,,
1978,,,,,,,Mar 01,80,26.4,Mar 29,78,32.4,,,,,,
1979,,,,,,,Feb 27,66,22.3,Mar 27,81,26.6,,,,,,
1980,,,,,,,Feb 29,66,22.7,Mar 28,74,27.1,,,,,,
1981,,,,,,,Feb 24,16,5.3,Mar 24,37,11.4,,,,,,
1982,,,,,,,Feb 25,31,9.8,Mar 30,55,18.0,,,,,,
1983,,,,,,,Feb 23,56,18.8,Mar 31,78,31.0,,,,,,
1984,,,,,,,Feb 27,12,4.1,Mar 26,6,2.2,,,,,,
1985,,,,,,,Feb 26,41,14.7,Mar 26,41,15.4,,,,,,
1986,,,,,,,May 01,35,14.2,Mar 31,38,17.1,,,,,,
1987,,,,,,,Feb 18,13,3.2,Mar 30,27,6.8,,,,,,
1988,,,,,,,Feb 26,25,7.6,Mar 30,18,6.4,,,,,,
1989,,,,,,,Feb 24,45,14.3,Mar 29,32,12.4,,,,,,
1990,,,,,,,Feb 27,35,10.0,Mar 29,22,8.7,,,,,,
1991,,,,,,,Feb 28,26,5.2,Mar 28,78,16.5,,,,,,
1992,,,,,,,Feb 28,54,15.5,Apr 03,71,36.3,,,,,,
1993,,,,,,,Mar 01,131,43.5,Mar 30,97,41.7,,,,,,
1994,,,,,,,Mar 01,38,10.3,Apr 01,29,10.4,,,,,,
1995,,,,,,,Feb 23,76,28.1,Mar 29,87,36.2,,,,,,
1996,,,,,,,Feb 28,46,10.6,Mar 25,29,10.7,,,,,,
1997,,,,,,,Mar 04,34,11.1,Apr 01,20,7.3,,,,,,
1998,,,,,,,Feb 26,93,24.8,Mar 25,81,28.7,,,,,,
1999,,,,,,,Feb 26,10,2.9,Mar 24,6,2.1,,,,,,
2000,,,,,,,Feb 29,50,12.3,Mar 30,42,15.6,,,,,,
2001,,,,,,,Feb 26,57,13.5,Mar 29,38,14.7,,,,,,
2002,,,,,,,Feb 28,17,5.6,Mar 28,21,6.6,,,,,,
2003,,,,,,,Feb 27,33,8.1,Mar 31,29,10.7,,,,,,
2004,,,,,,,Mar 01,57,16.0,Mar 31,34,13.6,,,,,,
2005,,,,,,,Feb 28,115,45.3,Mar 29,108,43.8,,,,,,
2006,,,,,,,Feb 27,13,3.8,Mar 30,43,14.0,,,,,,
2007,,,,,,,Feb 27,21,4.8,Mar 29,10,3.2,,,,,,
2008,,,,,,,Feb 28,61,21.3,Mar 31,50,19.5,,,,,,
2009,,,,,,,Feb 26,46,16.8,Mar 30,38,16.0,,,,,,
2010,,,,,,,Mar 01,68,22.1,Mar 31,54,21.0,,,,,,
2011,,,,,,,Mar 01,68,32.0,Mar 31,69,29.8,,,,,,
2012,,,,,,,Feb 29,16,5.2,Mar 29,15,5.8,,,,,,
2013,,,,,,,Feb 28,10,3.4,Mar 29,1,0.2,,,,,,
2014,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,Apr 01,0,0.0,,,,,,
