#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 14F11: Soldier R.S. (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Soldier R.s. (disc) (14F11) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 5740 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:32 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1938,,,,,,,Feb 28,40,17.2,Mar 31,49,19.8,May 01,0,0.0,,,
1939,,,,,,,Mar 11,37,10.4,,,,,,,,,
1940,,,,,,,,,,,,,,,,,,
1941,,,,,,,,,,Mar 30,14,6.4,,,,,,
1942,,,,,,,,,,Mar 22,35,11.1,,,,,,
1943,,,,,,,,,,Mar 28,56,21.2,,,,,,
1944,,,,,,,,,,Mar 23,19,6.0,,,,,,
1945,,,,,,,,,,Apr 05,22,8.0,,,,,,
1946,,,,,,,Mar 11,38,12.7,Mar 26,41,15.4,,,,,,
1947,,,,,,,Feb 21,27,9.4,Mar 21,23,7.0,,,,,,
1948,,,,,,,Mar 03,33,8.8,Mar 29,31,9.2,,,,,,
1949,,,,,,,Feb 26,51,15.0,Mar 28,29,11.9,,,,,,
1950,,,,,,,Feb 28,37,13.6,Mar 31,44,19.0,,,,,,
1951,,,,,,,Mar 01,38,11.8,Apr 02,33,12.8,,,,,,
1952,,,,Feb 09,64,13.6,Mar 04,65,22.4,Apr 03,52,23.4,May 02,0,0.0,,,
1953,,,,,,,Mar 03,35,13.2,Apr 02,14,5.4,,,,,,
1954,,,,,,,Mar 01,34,10.6,Mar 31,28,10.2,,,,,,
1955,,,,,,,Feb 28,33,5.6,Apr 01,26,8.2,,,,,,
1956,,,,,,,Mar 01,53,14.6,Mar 30,33,13.8,,,,,,
1957,,,,Feb 02,36,7.7,Mar 01,31,11.6,Mar 31,33,10.2,,,,,,
1958,Jan 04,27,7.0,Jan 30,40,9.6,Feb 28,30,11.8,Mar 31,35,13.0,,,,,,
1959,Dec 31,3,0.5,Jan 30,20,5.0,Feb 27,32,8.6,Mar 30,28,8.2,,,,,,
