#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09F15: Sheridan R.S. (New), WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Sheridan R.s. (new) (09F15) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 7790 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:58 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,,,,,,,,,,Jul 01,,7.1,Sep 01,,0.4,,,
1937,,,,,,,May 01,,2.2,Jul 01,,1.9,Sep 01,,2.2,,,
1938,,,,,,,May 01,,2.1,Jul 01,,4.1,Sep 01,,0.0,,,
1939,,,,,,,May 01,,2.3,Jul 01,,3.2,Sep 01,,0.0,,,
1940,,,,,,,May 01,,3.1,Jul 01,,1.9,Sep 01,,0.0,,,
1941,,,,Mar 01,,2.8,May 01,,3.6,Jul 01,,4.6,,,,,,
1942,,,,Mar 01,,1.6,May 01,,2.2,Jul 01,,3.2,Sep 01,,0.0,,,
1943,,,,Mar 01,,9.9,May 01,,11.5,Jul 01,,11.5,Sep 01,,0.9,,,
1944,,,,Mar 01,,0.9,May 01,,1.9,Jul 01,,3.0,,,,,,
1945,,,,Mar 01,,2.5,May 01,,4.3,Jul 01,,4.7,,,,,,
1946,,,,Mar 01,,2.2,May 01,,4.0,Jul 01,,3.2,,,,,,
1947,,,,Mar 01,,4.3,May 01,,3.4,Jul 01,,6.2,Sep 01,,2.2,,,
1948,,,,,,,May 01,,4.6,Jul 01,,4.7,Sep 01,,1.3,,,
1949,,,,Mar 01,,4.8,May 01,,6.8,Jul 01,,6.8,Sep 01,,0.0,,,
1950,,,,Mar 01,,4.7,May 01,,5.7,Jul 01,,6.0,Sep 01,,2.2,,,
1951,,,,Mar 01,,6.0,May 01,,8.4,Jul 01,,8.9,Sep 01,,3.1,,,
1952,,,,Mar 01,,4.6,May 01,,5.6,Jul 01,,6.1,Sep 01,,0.0,,,
1953,,,,Mar 01,,5.0,May 01,,6.4,Jul 01,,6.8,Sep 01,,4.4,,,
1954,,,,Mar 01,,3.8,May 01,,5.9,Jul 01,,9.0,Sep 01,,3.1,,,
1955,,,,Mar 01,,2.0,May 01,,2.9,Jul 01,,6.1,Sep 01,,2.2,,,
1956,,,,Mar 01,,7.6,May 01,,8.6,Jul 01,,10.0,Sep 01,,8.9,,,
1957,,,,Mar 01,,3.8,May 01,,5.1,Jul 01,,6.4,Sep 01,,7.3,,,
1958,,,,Mar 01,,2.5,May 01,,5.8,Jul 01,,5.0,Sep 01,,2.4,,,
1959,,,,Mar 01,,2.9,May 01,,5.3,Jul 01,,5.8,Sep 01,,2.1,,,
1960,,,,Mar 01,,1.7,May 01,,3.2,Jul 01,,4.5,Sep 01,,0.0,,,
1961,,,,Mar 01,,2.4,May 01,,1.8,Jul 01,,3.5,Sep 01,,0.8,,,
1962,,,,Mar 01,,5.8,May 01,,7.5,Jul 01,,7.7,Sep 01,,0.6,,,
1963,,,,Mar 01,,3.0,May 01,,6.1,Jul 01,,6.8,Sep 01,,6.1,,,
1964,,,,Mar 01,,3.8,May 01,,3.4,Jul 01,,6.8,Sep 01,,3.9,,,
1965,,,,Mar 01,,7.2,May 01,,8.0,Jul 01,,8.7,Sep 01,,5.3,,,
1966,,,,Mar 01,,3.2,May 01,,3.6,Jul 01,,4.4,Sep 01,,1.0,,,
1967,,,,Mar 01,,4.7,May 01,,6.7,Jul 01,,7.1,Sep 01,,6.8,,,
1968,,,,Mar 01,,2.8,May 01,,4.7,Jul 01,,4.4,Sep 01,,1.8,,,
1969,,,,Mar 01,,4.8,May 01,,6.4,Jul 01,,6.1,Sep 01,,0.0,,,
1970,,,,Mar 01,,3.8,May 01,,5.0,Jul 01,,5.4,Sep 01,,6.6,,,
1971,,,,Mar 01,,5.3,May 01,,5.7,Jul 01,,7.8,Sep 01,,9.5,,,
1972,,,,Mar 01,,7.2,May 01,,9.3,Jul 01,,9.6,Sep 01,,7.7,,,
1973,,,,Mar 01,,2.9,May 01,,3.2,Jul 01,,3.1,Sep 01,,3.0,,,
1974,,,,Mar 01,,4.7,May 01,,5.6,Jul 01,,7.3,Sep 01,,5.4,,,
1975,,,,Mar 01,,3.6,May 01,,4.8,Jul 01,,7.5,Sep 01,,7.6,,,
1976,,,,Mar 01,,5.0,May 01,,8.1,Jul 01,,9.3,Sep 01,,2.2,,,
1977,,,,Mar 01,,0.5,May 01,,1.0,Jul 01,,1.7,Sep 01,,0.0,,,
1978,,,,Mar 01,,5.7,May 01,,7.6,Jul 01,,7.4,Sep 01,,0.0,,,
1979,,,,Mar 01,,6.8,May 01,,7.5,Jul 01,,6.2,Sep 01,,3.5,,,
1980,,,,Mar 01,,4.7,May 01,,4.7,Jul 01,,5.9,Sep 01,,0.0,,,
1981,,,,Mar 01,,1.7,May 01,,2.5,Jul 01,,3.4,Sep 01,,0.0,,,
1982,,,,Mar 01,,6.2,May 01,,7.1,Jul 01,,8.0,Sep 01,,6.9,,,
1983,,,,Mar 01,,2.7,May 01,,2.7,Jul 01,,3.8,Sep 01,,2.2,,,
1984,,,,Jan 30,18,3.6,Feb 29,,4.9,Mar 29,22,4.5,Apr 26,14,3.4,,,
1985,,,,Jan 31,13,2.0,Feb 25,18,2.8,Mar 29,20,3.8,Apr 28,3,0.8,,,
1986,,,,Jan 30,18,3.7,Feb 25,37,8.8,Mar 27,27,8.4,Apr 27,12,3.8,,,
1987,,,,Jan 29,19,4.0,Feb 26,22,5.2,Mar 25,18,4.8,Apr 28,2,0.6,,,
1988,,,,Jan 26,15,3.2,Feb 26,16,3.8,Mar 28,18,4.4,Apr 26,6,2.0,,,
1989,,,,Jan 28,23,5.2,Feb 25,30,6.9,Mar 27,29,8.0,Apr 27,10,2.6,,,
1990,,,,Jan 30,21,4.0,Feb 24,20,4.3,Mar 29,24,5.3,Apr 26,3,0.7,,,
1991,,,,Feb 02,19,4.6,Feb 24,18,4.2,Mar 29,24,3.8,Apr 29,21,5.4,,,
1992,,,,Jan 29,16,2.8,Feb 26,17,3.8,Mar 26,13,3.3,Apr 30,0,0.0,,,
1993,,,,Jan 28,16,3.0,Feb 24,23,4.2,Mar 30,18,5.0,Apr 28,13,3.4,,,
1994,,,,Jan 28,12,1.8,Feb 24,18,2.8,Mar 31,15,3.8,Apr 26,3,0.4,,,
1995,,,,Jan 25,15,2.7,Feb 27,14,2.8,Mar 29,17,3.6,Apr 26,13,3.4,,,
1996,,,,Jan 28,24,5.6,Feb 27,29,6.3,Mar 27,31,7.9,Apr 28,11,3.3,,,
1997,,,,Jan 27,37,8.7,Feb 27,38,10.1,Mar 26,33,9.2,Apr 28,28,10.2,,,
1998,,,,Jan 27,22,4.6,Feb 24,20,4.4,Mar 25,17,5.3,Apr 28,15,5.6,,,
1999,,,,Jan 28,21,4.2,Feb 23,26,5.5,Mar 31,19,5.8,Apr 28,14,4.2,,,
2000,,,,Jan 26,17,3.6,Feb 29,21,4.5,Mar 31,19,5.0,Apr 25,4,1.4,,,
2001,,,,Jan 30,9,1.3,Feb 26,14,2.6,Mar 30,6,1.3,Apr 26,5,1.5,,,
2002,,,,Jan 29,18,3.1,Feb 26,17,3.3,Mar 28,22,5.6,Apr 29,8,3.3,,,
2003,,,,Jan 27,16,3.4,Feb 24,22,4.2,Mar 26,22,5.0,Apr 28,3,0.7,,,
2004,,,,Jan 27,18,3.7,Feb 25,18,4.0,Mar 29,10,2.8,Apr 26,3,0.7,,,
2005,,,,Jan 24,13,2.4,Feb 22,15,2.1,Mar 28,16,3.5,Apr 26,4,1.0,,,
2006,Jan 27,17,3.6,Jan 27,17,3.6,Feb 23,23,4.1,Mar 29,24,6.0,Apr 25,4,1.1,,,
2007,,,,Jan 28,14,3.0,Feb 27,20,3.3,Mar 26,8,2.2,Apr 25,2,0.5,,,
2008,,,,Jan 29,20,3.5,Feb 25,21,5.1,Mar 24,22,5.5,Apr 28,14,4.5,,,
2009,,,,Jan 29,15,3.5,Feb 24,17,3.4,Mar 30,21,4.8,Apr 27,15,3.1,,,
2010,,,,Jan 25,8,1.0,Feb 24,10,1.7,Mar 26,6,1.5,Apr 28,0,0.0,,,
2011,,,,Jan 25,19,2.8,Feb 23,20,4.3,Mar 28,26,5.8,Apr 25,28,8.4,,,
2012,,,,Feb 01,16,2.2,Feb 27,20,3.6,Mar 27,11,2.2,Apr 25,2,0.7,,,
2013,,,,Jan 29,12,2.2,Feb 27,15,2.6,Mar 28,14,3.5,Apr 26,9,2.7,,,
2014,,,,Jan 29,15,3.2,Feb 27,34,8.5,Mar 28,31,9.3,Apr 28,18,6.7,,,
2015,,,,Jan 28,20,4.5,Feb 26,24,5.7,Mar 31,15,4.8,Apr 28,4,1.4,,,
2016,,,,Jan 28,13,2.4,Feb 25,16,3.8,Mar 30,20,5.0,May 26,0,0.0,,,
2017,,,,Jan 30,31,8.2,Feb 24,47,12.8,Mar 29,23,10.2,Apr 27,4,0.2,,,
2018,,,,Jan 30,20,5.0,Feb 27,31,7.5,Mar 28,28,9.0,Apr 27,0,0.0,,,
2019,,,,Jan 30,18,3.7,Feb 28,28,6.0,Mar 28,22,5.7,Apr 29,0,0.0,,,
2020,,,,Jan 29,17,3.5,Feb 25,26,6.4,Mar 30,26,7.9,Apr 28,11,4.3,,,
2021,,,,Jan 28,15,2.8,Feb 26,25,5.2,Mar 29,22,6.0,Apr 28,4,1.0,,,
2022,,,,Jan 26,17,4.1,Feb 28,18,4.7,Mar 28,10,3.8,Apr 28,0,0.0,,,
2023,,,,Jan 30,26,5.5,Feb 27,27,6.1,Mar 27,30,7.5,Apr 28,10,3.7,,,
2024,,,,,,,,,,,,,,,,,,
