#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09F11: St. Lawrence R.S., WY
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# St. Lawrence R.s. (09F11) 
# Wyoming  SNOW COURSE/AERIAL MARKER Site - 8960 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:49 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1941,,,,Jan 30,10,1.8,Feb 26,12,1.9,Apr 03,31,6.8,May 01,29,9.0,,,
1942,,,,Feb 02,16,3.5,Feb 27,19,4.5,Mar 31,21,4.8,Apr 29,7,1.6,,,
1943,,,,Feb 02,48,12.4,Mar 02,46,14.5,Mar 31,43,13.9,May 04,29,11.3,,,
1944,,,,Feb 01,14,1.8,Mar 02,20,3.2,Apr 03,25,6.1,Apr 28,53,12.4,,,
1945,,,,Mar 01,,1.7,May 01,,2.8,Jul 01,,4.4,Sep 01,,9.5,,,
1946,,,,Mar 01,,5.0,May 01,,5.9,Jul 01,,7.2,Sep 01,,1.4,,,
1947,,,,Feb 05,20,3.9,Mar 09,24,4.6,Apr 01,19,4.5,May 01,22,5.3,,,
1948,,,,,,,May 01,,4.4,Jul 01,,5.0,Sep 01,,7.1,,,
1949,,,,Feb 04,23,5.6,Feb 23,31,8.8,Mar 26,35,10.0,Apr 29,14,4.6,,,
1950,,,,Jan 30,32,8.4,Feb 26,29,8.2,Mar 26,39,10.2,May 02,30,10.0,,,
1951,,,,Jan 28,18,3.4,Feb 24,20,4.2,Apr 02,28,7.0,Apr 28,24,7.1,,,
1952,,,,Jan 27,25,5.6,Feb 27,31,8.4,Mar 27,37,10.4,Apr 27,28,9.2,,,
1953,,,,Jan 30,17,4.2,Mar 03,23,6.4,Mar 26,21,6.0,Apr 30,17,5.0,,,
1954,,,,Jan 31,20,4.0,Feb 27,25,6.0,Mar 29,35,9.2,Apr 30,16,5.8,,,
1955,,,,Jan 31,7,1.3,Feb 28,18,3.6,Mar 31,23,6.4,Apr 30,20,7.2,,,
1956,,,,Feb 04,30,8.6,Feb 28,32,9.5,Mar 30,28,9.9,Apr 29,34,9.0,,,
