#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 08P01: Post Office Flats, NM
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Post Office Flats (08P01) 
# New Mexico  SNOW COURSE/AERIAL MARKER Site - 8400 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:57:41 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1982,,,,Jan 28,12,3.0,Mar 02,14,4.3,Mar 30,3,0.8,Apr 27,0,0.0,,,
1983,,,,Jan 24,16,3.3,Feb 22,18,4.6,Mar 30,14,4.5,,,,,,
1984,,,,Jan 26,13,3.2,Feb 24,9,3.2,Mar 30,5,1.0,,,,,,
1985,,,,Jan 30,19,3.4,Feb 26,16,4.5,Jul 01,,2.4,,,,,,
1986,,,,Jan 28,4,1.1,Feb 25,2,0.6,Mar 25,0,0.0,,,,,,
1987,,,,Jan 29,15,3.9,Feb 23,17,4.6,Mar 19,12,3.8,,,,,,
1988,,,,Jan 28,16,3.9,Feb 22,16,4.1,Mar 31,0,0.0,,,,,,
1989,,,,Jan 30,16,4.2,Feb 27,8,2.3,Mar 29,0,0.0,,,,,,
1990,,,,Jan 29,6,1.6,Feb 26,7,2.2,Mar 26,0,0.0,,,,,,
1991,,,,Jan 30,20,3.8,Feb 28,9,2.9,Mar 28,14,3.3,,,,,,
1992,,,,Jan 28,14,3.5,Feb 27,11,2.9,Mar 26,0,0.0,,,,,,
1993,,,,Jan 27,19,5.0,Feb 25,23,6.2,Mar 29,3,0.6,,,,,,
1994,,,,Jan 28,6,1.6,Feb 25,10,2.6,Mar 28,0,0.0,,,,,,
1995,,,,Jan 30,16,3.7,Feb 27,8,3.1,Mar 29,0,0.0,,,,,,
1996,,,,Jan 30,7,1.5,Feb 28,3,0.6,Mar 27,0,0.0,,,,,,
1997,,,,Jan 31,14,3.2,Feb 27,13,3.4,Mar 27,0,0.0,,,,,,
1998,,,,Jan 26,11,2.7,Feb 23,15,3.8,Mar 30,8,1.8,,,,,,
1999,,,,Jan 25,1,0.4,Feb 25,0,0.0,Mar 29,0,0.0,,,,,,
