#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 2B07: Koch Creek, BC
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Koch Creek (2B07) 
# British Columbia  SNOW COURSE/AERIAL MARKER Site - 6102 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:42 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1959,,,,,,,,,,Mar 30,98,33.4,,,,,,
1960,,,,Jan 29,56,14.9,,,,Mar 31,74,24.4,Apr 28,80,28.3,,,
1961,,,,,,,Feb 23,89,28.7,Mar 30,96,34.5,Apr 27,94,37.0,,,
1962,,,,,,,Feb 27,62,20.6,Mar 29,83,26.9,Apr 30,74,26.0,,,
1963,,,,,,,Feb 28,58,18.4,Mar 29,81,23.4,Apr 30,70,27.2,,,
1964,,,,,,,Feb 28,71,25.8,Mar 31,85,33.2,Apr 30,87,33.9,,,
1965,,,,,,,Feb 25,80,27.2,Mar 30,84,31.6,Apr 29,69,30.8,,,
1966,,,,,,,Feb 25,79,25.6,Mar 30,86,31.9,Apr 29,87,34.8,,,
1967,,,,,,,Feb 27,91,33.3,Mar 30,113,40.7,Apr 27,110,44.5,May 30,78,38.5
1968,,,,Jan 25,70,21.5,Feb 27,80,27.9,Mar 28,96,32.1,Apr 25,98,36.8,May 29,61,27.6
1969,,,,Jan 29,82,25.5,Feb 28,95,25.7,Mar 26,91,34.1,May 04,90,40.1,,,
1970,,,,Jan 27,56,15.1,Feb 25,53,16.5,Mar 26,61,19.2,Apr 29,66,22.4,,,
1971,,,,Jan 28,76,23.6,Feb 26,84,29.8,Apr 02,107,39.0,Apr 28,93,41.7,,,
1972,,,,Jan 27,72,24.5,Mar 03,83,30.4,Mar 29,90,32.4,Apr 27,101,40.6,,,
1973,,,,Feb 01,58,17.1,Feb 26,66,21.4,Mar 26,90,26.9,Apr 30,73,28.3,,,
1974,,,,Jan 30,84,25.7,Mar 03,109,33.1,Mar 28,113,40.5,Apr 27,107,47.3,,,
1975,,,,Jan 30,70,22.7,Feb 27,83,28.4,Mar 30,93,34.4,Apr 30,95,36.2,,,
1976,,,,Jan 29,70,22.9,Feb 28,86,25.6,Mar 29,100,32.0,Apr 29,93,37.0,,,
1977,,,,Jan 26,32,8.0,Feb 24,41,10.6,Mar 25,61,16.7,Apr 28,41,15.4,,,
1978,,,,Jan 30,61,20.2,Feb 27,66,23.6,Mar 31,72,28.7,Apr 26,77,32.2,,,
1979,Jan 02,33,6.7,Jan 26,34,8.6,Feb 28,73,18.4,Mar 31,68,21.0,Apr 27,67,24.6,,,
1980,Jan 03,47,12.2,Jan 28,51,15.4,Mar 02,69,23.1,Mar 27,86,28.4,Apr 29,57,24.3,,,
1981,Dec 30,41,12.3,Jan 31,43,13.8,Feb 26,65,19.6,Apr 02,81,24.9,May 01,70,29.6,,,
1982,Dec 29,47,13.4,Feb 02,73,21.0,Feb 26,89,27.9,Mar 25,89,34.5,Apr 26,94,38.4,,,
1983,,,,Jan 28,78,23.0,Feb 24,87,29.6,Mar 28,93,34.1,Apr 29,92,39.1,,,
1984,,,,Jan 30,58,17.1,Feb 29,72,23.3,Mar 29,87,30.6,Apr 27,80,32.7,,,
1985,,,,Jan 29,51,18.6,Feb 25,66,22.7,Mar 26,71,25.4,Apr 29,66,27.4,,,
1986,,,,Feb 07,56,16.2,Feb 25,59,18.8,Mar 25,67,21.6,Apr 28,79,25.6,,,
1987,,,,,,,Feb 23,54,15.4,Mar 25,67,22.1,Apr 27,57,22.7,,,
1988,,,,Jan 26,54,17.8,Feb 23,61,20.9,Mar 30,80,27.2,Apr 27,65,28.3,,,
1989,Jan 04,43,10.9,Jan 28,46,14.9,,,,Mar 29,76,24.4,,,,,,
1990,Jan 06,36,9.1,Jan 29,59,14.5,Feb 27,61,20.6,Mar 27,67,23.6,Apr 30,64,23.6,,,
1991,Jan 02,63,17.8,Jan 29,69,22.5,Feb 27,71,26.4,Mar 26,86,32.7,Apr 28,78,34.3,,,
1992,Dec 27,40,12.7,Feb 03,75,23.6,,,,Mar 26,66,29.6,Apr 26,64,30.6,,,
1993,Jan 06,48,14.0,Feb 02,63,20.2,Feb 25,63,20.8,Mar 26,65,22.7,Apr 30,76,29.0,,,
1994,,,,Jan 29,50,17.3,Feb 26,83,25.6,Mar 27,75,28.4,Apr 27,64,27.6,,,
1995,Jan 02,62,17.8,Feb 04,71,26.5,Feb 28,69,26.3,Mar 28,94,35.5,Apr 25,89,36.6,,,
1996,Dec 28,56,16.1,Jan 30,71,23.1,Mar 02,82,29.4,Mar 29,79,31.9,Apr 28,85,35.4,,,
1997,,,,Feb 03,78,27.9,,,,Mar 29,97,36.1,Apr 28,88,39.2,,,
1998,,,,,,,Mar 06,81,24.4,Mar 29,77,28.9,Apr 28,67,28.1,,,
1999,,,,,,,Feb 26,110,39.2,Apr 01,109,45.5,Apr 28,96,45.7,,,
2000,Jan 05,51,15.3,Jan 30,54,18.0,,,,Mar 26,88,31.8,Apr 29,75,33.3,,,
2001,Jan 06,33,9.2,Feb 06,40,11.3,Feb 25,44,13.3,Mar 27,54,15.6,May 03,56,20.4,,,
2002,Dec 30,51,16.5,,,,Mar 01,75,26.7,Apr 03,75,28.9,May 01,69,30.9,,,
2003,,,,,,,Feb 24,65,22.5,,,,Apr 29,77,31.8,,,
2004,Dec 30,43,11.9,,,,Mar 02,68,21.7,Mar 28,75,28.0,Apr 30,59,24.2,,,
2005,,,,,,,Feb 23,49,17.0,,,,Apr 29,61,23.6,,,
2006,,,,,,,Mar 03,90,30.5,Mar 26,96,34.0,Apr 26,93,40.9,,,
2007,,,,Jan 27,66,21.5,,,,Mar 28,78,28.6,Apr 30,70,30.7,,,
2008,,,,,,,Mar 02,69,23.5,Apr 02,77,27.6,Apr 26,85,30.7,,,
2009,,,,Feb 03,50,14.3,Feb 28,56,16.2,Apr 06,65,21.3,Apr 30,58,22.6,,,
2010,,,,,,,Mar 03,64,23.8,Apr 01,76,27.8,Apr 26,65,26.6,,,
2011,,,,Feb 05,58,17.0,Mar 04,75,22.1,Apr 01,92,30.2,May 01,100,37.8,,,
2012,,,,,,,Feb 27,74,20.8,Apr 06,99,32.5,Apr 28,73,31.4,,,
2013,Jan 03,61,18.6,,,,Mar 04,81,28.1,Mar 28,81,29.4,May 01,80,35.7,,,
2014,Jan 04,35,9.5,,,,Feb 25,57,16.2,Apr 01,68,22.0,May 01,69,27.0,,,
2015,Dec 30,44,10.7,,,,Feb 28,56,19.2,,,,Apr 28,60,24.2,,,
2016,Jan 04,52,16.3,Feb 02,72,22.4,Feb 24,82,27.7,Mar 30,95,35.7,Apr 29,59,27.6,,,
2017,Jan 02,50,13.2,Jan 30,57,16.5,Feb 23,73,20.9,Apr 03,99,32.2,Apr 28,100,38.2,,,
2018,Jan 01,46,12.1,Jan 31,79,21.7,Mar 05,95,29.0,Mar 28,91,31.9,Apr 25,100,38.3,,,
2019,Dec 31,55,13.7,Jan 26,57,18.2,,,,Mar 28,67,23.6,Apr 25,63,25.4,,,
2020,Jan 02,54,13.3,Feb 02,77,23.3,Feb 25,85,28.0,Mar 26,78,29.5,Apr 26,72,32.1,,,
2021,Dec 29,44,11.3,Feb 05,82,23.2,Feb 26,80,25.4,Mar 30,72,26.7,Apr 27,66,26.1,,,
2022,Dec 31,47,11.7,Jan 26,57,17.4,Feb 24,55,18.0,Apr 01,67,23.5,Apr 28,77,29.1,,,
