#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 49M05: Arctic Ski Bowl, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Arctic Ski Bowl (49M05) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 3000 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:34 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1964,,,,Mar 01,16,4.7,Mar 04,22,5.8,Apr 07,35,9.5,May 08,38,11.9,,,
1965,,,,Mar 01,40,11.7,Mar 03,43,14.3,Mar 31,42,16.1,,,,,,
1966,,,,Feb 03,29,8.7,Feb 25,30,8.8,Mar 31,40,10.7,May 02,39,12.9,,,
1967,,,,Jan 31,33,10.7,Mar 01,43,13.2,Mar 31,44,14.5,Apr 28,49,15.4,,,
1968,,,,Jan 31,33,10.9,Feb 28,45,14.0,Apr 02,43,14.5,May 01,38,12.5,,,
1969,,,,Jan 29,22,5.1,Feb 26,32,8.4,Apr 01,30,8.3,Apr 30,30,10.4,,,
1970,,,,Feb 03,23,3.2,Feb 26,22,5.8,Apr 03,26,6.4,May 01,25,7.4,,,
1971,,,,Jan 28,22,6.9,Feb 24,34,9.6,Apr 02,39,13.5,May 04,44,14.6,,,
1972,,,,Jan 31,46,13.5,Mar 01,49,15.7,Mar 31,56,19.6,May 01,53,15.1,,,
1973,,,,Jan 30,32,8.9,Feb 28,32,10.1,Apr 02,39,12.1,Apr 30,39,11.7,,,
1974,,,,Feb 01,25,7.6,Feb 27,31,8.7,Apr 01,32,9.6,Apr 30,36,11.3,,,
1975,,,,Jan 30,33,10.0,Feb 28,40,11.9,Mar 28,40,12.9,May 01,52,17.6,,,
1976,,,,Feb 02,20,5.1,Mar 02,26,7.4,Mar 31,34,10.3,May 03,29,11.0,,,
1977,,,,Feb 01,31,10.5,Feb 25,35,12.4,Apr 01,48,16.5,Apr 30,51,18.2,,,
1978,,,,Feb 01,22,5.1,Feb 28,23,6.5,Apr 04,25,6.5,Apr 27,25,7.8,,,
1979,,,,Feb 01,37,14.5,Feb 27,47,18.5,Mar 30,62,23.0,Apr 27,55,21.9,,,
1980,,,,Jan 31,33,11.0,Feb 28,47,12.6,Mar 31,49,19.3,Apr 30,41,18.0,,,
1981,,,,Feb 04,18,4.4,Mar 02,30,7.3,Apr 01,34,10.3,May 01,27,9.3,,,
1982,,,,Jan 29,21,6.1,Feb 26,24,9.2,Mar 30,32,11.5,Apr 29,19,7.2,,,
1983,,,,Jan 28,36,11.7,Feb 25,35,11.8,Mar 30,36,11.9,May 03,41,14.0,,,
1984,,,,Jan 31,28,7.3,Feb 29,36,10.4,Apr 02,37,10.1,May 01,41,14.0,,,
1985,,,,Feb 01,23,5.4,Mar 05,34,9.9,Apr 01,40,13.5,Apr 30,40,14.0,,,
1986,,,,Jan 30,17,3.9,Feb 27,23,5.9,Mar 31,40,9.2,Apr 29,32,10.0,,,
1987,,,,Jan 29,27,7.4,Feb 27,29,10.4,Mar 30,37,13.5,Apr 29,39,14.8,,,
1988,,,,Jan 28,31,9.1,Feb 26,37,13.6,Mar 31,45,14.9,Apr 29,47,16.3,,,
