#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 47P01: Yak Pasture (Discontinued), AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Yak Pasture (discontinued) (47P01) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 600 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:23 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1960,,,,Mar 01,20,3.4,Mar 04,21,4.0,Mar 28,20,4.2,Sep 01,0,0.0,,,
1961,,,,Mar 01,8,1.3,May 01,8,1.6,Apr 02,11,1.7,May 01,0,0.0,,,
1962,,,,Mar 01,21,3.4,Mar 02,26,4.1,Apr 03,25,4.6,Apr 26,13,6.0,,,
1963,,,,Mar 01,18,2.9,Mar 05,18,3.5,Apr 01,32,4.5,May 01,10,1.9,,,
1964,,,,Mar 01,12,2.0,Mar 03,16,2.4,Apr 03,17,3.0,May 02,6,2.8,,,
1965,,,,Mar 01,19,3.2,Mar 03,23,3.8,Apr 04,9,2.6,May 05,0,0.0,,,
1966,,,,Mar 01,26,4.3,Mar 03,29,5.1,Mar 28,28,4.8,May 03,0,0.0,,,
1967,,,,Mar 01,23,3.9,Mar 06,22,4.6,Mar 29,25,5.2,May 04,6,1.7,,,
1968,,,,Mar 01,26,4.2,Feb 26,26,5.0,Mar 27,24,5.4,Apr 29,10,2.7,,,
1969,,,,Jan 31,20,3.0,Feb 26,19,3.5,Mar 28,24,4.3,Apr 29,0,0.0,,,
1970,,,,Jan 28,8,1.0,Feb 24,10,1.8,Mar 30,8,1.6,Apr 28,0,0.0,,,
1971,,,,Feb 01,36,7.9,Mar 01,42,9.0,Mar 29,38,9.8,Apr 30,18,7.1,,,
1972,,,,Jan 26,22,4.1,Feb 28,25,5.2,Mar 27,26,5.6,Apr 27,23,6.0,,,
1973,,,,Jan 29,20,3.2,Feb 26,20,3.8,Mar 30,21,4.5,May 01,0,0.0,,,
1974,,,,Jan 29,15,2.0,Feb 26,18,2.9,Mar 31,19,3.4,May 01,0,0.0,,,
1975,,,,Jan 28,30,4.4,Mar 01,26,5.3,Mar 28,26,5.1,Apr 28,10,3.4,,,
1976,,,,Jan 28,15,2.1,Feb 24,15,2.2,Mar 29,18,3.3,May 03,0,0.0,,,
1977,,,,Feb 03,22,3.7,Feb 28,17,3.0,Mar 28,20,4.1,Apr 25,0,0.0,,,
1978,,,,Jan 30,18,3.3,Mar 02,19,3.6,Mar 27,18,3.4,May 02,0,0.0,,,
1979,,,,Mar 01,19,3.0,Feb 27,22,3.5,Mar 21,22,3.8,Apr 30,0,0.0,,,
1980,,,,Mar 01,18,2.9,Feb 25,17,3.4,Mar 25,17,3.8,Sep 01,0,0.0,,,
1981,,,,Jan 30,13,1.3,Feb 26,16,2.6,Mar 25,12,2.4,Apr 30,0,0.0,,,
1982,,,,Jan 28,15,2.8,Feb 27,17,2.7,Mar 31,19,3.3,Apr 29,3,0.7,,,
1983,,,,Feb 01,25,5.0,Feb 25,25,5.1,Apr 01,24,5.1,Apr 28,0,0.0,,,
1984,,,,Jan 30,16,2.3,Feb 27,20,2.9,Apr 03,16,3.3,Apr 30,1,0.2,,,
1985,,,,Jan 28,27,5.5,Mar 03,34,6.8,Apr 03,31,7.2,May 01,19,6.5,,,
1986,,,,Jan 29,12,1.6,Feb 24,14,1.9,Mar 29,18,2.2,Apr 29,0,0.0,,,
1987,,,,,,,,,,,,,,,,,,
