#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 36M02: Satasha Lake, YK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Satasha Lake (36M02) 
# Yukon Territory  SNOW COURSE/AERIAL MARKER Site - 3630 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:51:33 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1987,,,,,,,Feb 24,9,1.2,Apr 01,11,2.0,May 01,0,0.0,,,
1988,,,,,,,Feb 29,18,3.4,Mar 30,20,3.4,Apr 29,6,1.0,,,
1989,,,,,,,Feb 28,15,3.1,Mar 30,23,4.2,Apr 28,2,0.5,,,
1990,,,,,,,Feb 28,22,3.6,Mar 28,19,3.8,May 01,0,0.0,,,
1991,,,,,,,Feb 27,24,5.1,Mar 26,27,5.5,Apr 30,10,2.7,,,
1992,,,,,,,Mar 02,28,6.4,Mar 30,28,6.6,Apr 30,17,4.2,,,
1993,,,,,,,Feb 24,52,11.3,Mar 30,50,13.2,Apr 30,33,12.4,,,
1994,,,,,,,Feb 28,21,3.1,Mar 29,22,4.0,Apr 28,5,1.0,,,
1995,,,,,,,Feb 27,15,2.0,Mar 31,15,2.6,Apr 26,0,0.0,,,
1996,,,,,,,Feb 27,18,3.1,Mar 26,19,3.4,Apr 26,2,0.6,,,
1997,,,,,,,Mar 01,19,2.9,Mar 27,21,4.2,May 02,3,0.7,,,
1998,,,,,,,Feb 23,18,3.1,Mar 27,17,3.2,Apr 26,0,0.0,,,
1999,,,,,,,Feb 24,17,2.8,Mar 26,15,3.5,Apr 26,0,0.0,,,
2000,,,,,,,Feb 28,17,3.0,Mar 27,17,3.5,Apr 25,16,3.7,,,
2001,,,,,,,Feb 27,18,2.2,Mar 29,17,2.7,Apr 26,7,1.7,,,
2002,,,,,,,Mar 04,21,3.2,Apr 02,21,3.9,Apr 29,12,3.1,,,
2003,,,,,,,Mar 03,10,1.2,Mar 28,23,1.4,Apr 27,0,0.0,,,
2004,,,,,,,Feb 24,14,2.4,Mar 29,19,3.1,Apr 28,12,3.1,,,
