#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 50N02: Talkeetna, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Talkeetna (50N02) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 350 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:42 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1967,,,,Feb 01,21,4.6,Feb 28,29,5.6,Mar 30,33,7.7,May 01,29,9.8,,,
1968,,,,Feb 06,31,8.4,Feb 29,40,10.6,Mar 28,37,10.6,Apr 30,30,9.9,,,
1969,,,,Feb 02,16,2.2,Feb 27,26,3.5,Mar 27,20,3.5,Apr 29,0,0.0,,,
1970,,,,Feb 02,13,2.2,Feb 26,15,2.9,Mar 31,11,2.6,May 04,0,0.0,,,
1971,,,,Feb 02,29,6.2,Feb 25,39,8.8,Mar 30,40,10.0,Apr 30,28,8.9,,,
1972,,,,Feb 03,50,10.9,Feb 25,42,10.8,Mar 30,52,12.2,Apr 27,50,14.3,,,
1973,,,,Jan 31,34,5.5,Mar 02,25,5.8,Mar 30,32,8.5,May 01,15,5.3,,,
1974,,,,Jan 29,19,3.9,Feb 28,28,5.0,Apr 01,23,5.5,Apr 30,4,1.2,,,
1975,,,,Jan 29,40,8.5,Feb 28,39,10.4,Apr 02,48,11.6,Apr 29,34,12.2,,,
1976,,,,Feb 02,21,4.3,Feb 28,25,5.8,Mar 30,38,9.2,Apr 30,20,6.1,,,
1977,,,,Feb 02,23,6.7,Feb 28,24,7.1,Mar 31,34,8.7,Apr 27,28,8.1,,,
1978,,,,Jan 27,18,3.4,Mar 02,21,5.0,Apr 01,22,5.7,Apr 28,2,0.4,,,
1979,,,,Jan 30,32,7.9,Mar 01,30,8.1,Mar 28,36,8.5,Sep 01,19,6.1,,,
1980,,,,Feb 06,31,5.7,Feb 29,26,6.3,Mar 25,29,6.5,Apr 29,0,0.0,,,
1981,,,,Jan 28,17,3.7,Feb 28,22,5.0,Mar 31,17,5.1,Apr 28,2,0.8,,,
1982,,,,Jan 26,12,2.7,Feb 24,8,2.6,Mar 25,14,4.3,Apr 26,6,2.3,,,
1983,,,,Jan 28,22,5.2,Feb 24,26,6.0,Mar 29,25,6.1,Apr 27,11,4.2,,,
1984,,,,Jan 28,19,4.1,Feb 28,28,5.4,Mar 28,19,5.6,Apr 25,8,2.5,,,
1985,,,,Jan 28,24,5.8,Mar 04,46,9.9,Mar 25,47,12.2,May 01,35,11.8,,,
1986,,,,Jan 27,11,2.1,Feb 27,16,3.3,Mar 31,19,3.5,Apr 28,4,1.1,,,
1987,,,,Jan 27,25,5.5,Feb 27,30,6.7,Mar 30,23,6.2,Apr 27,9,3.1,,,
1988,,,,Jan 26,23,5.0,Mar 01,31,7.1,Mar 28,33,8.3,Apr 27,17,5.2,,,
1989,,,,Feb 02,29,6.3,Feb 26,40,8.8,Mar 29,42,10.6,Apr 27,20,7.2,,,
1990,,,,Jan 29,48,11.6,May 01,68,15.7,Mar 26,59,18.3,Apr 26,34,12.6,,,
1991,,,,Jan 29,44,11.8,Feb 28,42,12.6,Mar 30,56,15.8,Apr 30,33,12.7,,,
1992,,,,Feb 04,38,8.4,Mar 02,40,10.6,Mar 30,37,10.6,Sep 01,16,4.6,,,
1993,,,,Jan 27,50,11.2,Mar 01,46,12.3,Mar 29,44,13.7,Sep 01,20,6.7,,,
1994,,,,Jan 26,24,5.9,Feb 25,22,6.3,Mar 28,30,8.0,Apr 25,21,6.6,,,
1995,,,,Jan 29,34,9.8,Feb 26,38,10.4,Mar 31,36,10.6,Sep 01,12,3.6,,,
1996,,,,Jan 28,8,1.5,Feb 24,28,5.4,Mar 24,27,6.4,Apr 28,2,0.6,,,
1997,,,,Jan 28,21,4.5,Feb 25,27,6.5,Mar 29,26,6.4,Apr 28,0,0.0,,,
1998,,,,Jan 28,26,4.6,Mar 01,25,4.8,Mar 30,20,4.6,Apr 29,2,0.0,,,
1999,,,,Feb 07,23,3.9,Feb 28,24,4.2,Mar 31,31,5.7,May 04,13,3.8,,,
2000,,,,Feb 01,50,10.5,Feb 28,43,11.9,Mar 30,43,12.2,Apr 27,25,8.9,,,
2001,,,,Jan 31,24,4.8,Feb 27,30,6.6,Apr 05,33,9.3,Apr 27,21,6.5,,,
2002,,,,Feb 01,24,3.8,Feb 27,19,4.2,Mar 27,22,4.5,Apr 29,22,6.4,,,
2003,,,,Jan 27,5,0.5,Feb 24,9,1.5,Mar 24,8,2.1,Apr 29,0,0.0,,,
2004,,,,Jan 28,19,4.0,Feb 25,23,5.1,Mar 26,25,5.6,Apr 29,0,0.0,,,
2005,,,,Jan 28,41,10.3,Mar 02,46,12.2,Mar 31,44,12.9,Apr 28,22,7.6,,,
2006,,,,Jan 31,16,3.3,Feb 28,24,4.5,Mar 30,22,5.5,Apr 28,11,2.7,,,
2007,,,,,,,Feb 28,16,3.3,Mar 30,18,3.4,,,,,,
2008,,,,Jan 30,26,4.4,Feb 27,25,5.6,Mar 26,24,6.8,,,,,,
2009,,,,Jan 30,26,5.5,Feb 26,38,8.5,Mar 31,38,10.2,Apr 30,20,6.2,,,
2010,,,,Feb 01,19,4.0,Feb 26,21,4.5,Apr 02,18,5.7,Apr 29,0,0.0,,,
2011,,,,Feb 01,30,6.3,Mar 02,27,6.5,Apr 01,24,6.3,Apr 28,14,4.1,,,
2012,,,,Feb 01,36,7.5,Feb 29,42,9.2,Mar 29,34,9.6,May 01,8,3.1,,,
2013,,,,Feb 01,21,4.4,Mar 01,29,7.2,Mar 29,35,8.2,Apr 29,23,7.8,,,
2014,,,,Jan 29,17,4.9,Feb 27,16,5.1,Mar 31,20,5.6,Apr 28,8,2.7,,,
2015,,,,Jan 29,19,2.7,Feb 26,12,3.1,Mar 31,10,3.2,May 01,0,0.0,,,
2016,,,,Feb 02,18,4.2,Feb 29,17,4.6,Mar 31,17,5.2,Apr 28,0,0.0,,,
2017,,,,Jan 31,22,3.7,Mar 01,22,4.5,Mar 30,20,4.8,Apr 28,0,0.0,,,
2018,,,,Jan 31,17,3.1,Mar 01,30,5.2,Mar 30,28,6.8,May 02,5,1.3,,,
2019,,,,Jan 29,19,4.0,Feb 28,29,6.4,Mar 29,18,4.8,Apr 30,0,0.0,,,
2020,,,,Jan 29,23,5.3,Mar 02,37,8.3,Mar 30,43,10.6,Apr 29,19,6.7,,,
2021,,,,Feb 01,20,4.6,Mar 01,32,6.5,Mar 31,34,7.3,Apr 29,5,1.8,,,
2022,,,,Jan 31,19,4.6,Mar 02,45,10.0,Mar 30,38,11.8,Apr 28,22,8.5,,,
2023,,,,Feb 01,29,5.6,Mar 02,36,8.4,Mar 30,32,7.8,Apr 28,27,8.5,,,
2024,,,,,,,,,,,,,,,,,,
