#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11F12: McRenolds Reservoir, ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mcrenolds Reservoir (11F12) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 6736 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:01 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,Jan 01,,7.8,Mar 01,,9.0,May 01,,13.4,Jul 01,,15.9,Sep 01,,11.2,,,
1962,Jan 01,,9.4,Mar 01,,12.7,May 01,,18.1,Jul 01,,21.3,Sep 01,,8.3,,,
1963,Jan 01,,2.7,Mar 01,,6.1,May 01,,10.0,Jul 01,,12.7,Sep 01,,16.4,,,
1964,Jan 01,,5.8,Mar 01,,13.2,May 01,,15.4,Jul 01,,21.6,Sep 01,,19.8,,,
1965,Jan 01,,12.0,Mar 01,,17.3,May 01,,22.0,Jul 01,,23.2,Sep 01,,15.6,,,
1966,Jan 01,,5.1,Mar 01,,9.4,May 01,,13.4,Jul 01,,15.7,Sep 01,,3.1,,,
1967,Jan 01,,6.1,Mar 01,,14.3,May 01,,18.9,Jul 01,,19.8,Sep 01,,20.4,,,
1968,Jan 01,,6.2,Mar 01,,9.9,May 01,,17.0,Jul 01,,19.3,Sep 01,,17.1,,,
1969,Jan 01,,9.5,Mar 01,,15.9,May 01,,19.6,Jul 01,,21.1,Sep 01,,11.7,,,
1970,Jan 01,,6.8,Mar 01,,18.5,May 01,,20.7,Jul 01,,24.3,Sep 01,,28.9,,,
1971,Jan 01,,9.3,Mar 01,,15.5,May 01,,19.0,Jul 01,,24.8,Sep 01,,24.5,,,
1972,Jan 01,,11.8,Mar 01,,18.9,May 01,,22.6,Jul 01,,24.0,Sep 01,,19.1,,,
1973,Jan 01,,8.6,Feb 02,46,12.5,Feb 26,49,15.6,Apr 03,56,18.9,Apr 27,49,18.6,Jun 06,0,0.0
1974,Jan 02,42,10.2,Feb 03,60,16.5,Mar 10,72,23.4,Mar 25,64,23.9,Apr 29,45,19.9,May 28,0,0.0
