#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 49M22: Anchorage Hillside, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Anchorage Hillside (49M22) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 2080 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:52:24 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1982,,,,Jan 27,24,5.3,Feb 27,14,5.1,Mar 27,19,5.6,May 01,19,7.2,,,
1983,,,,Jan 28,35,9.7,Mar 01,38,10.0,Mar 31,35,10.3,Apr 29,38,11.5,,,
1984,,,,Jan 26,30,6.3,Mar 05,39,9.0,Apr 02,30,8.9,Apr 28,32,11.3,,,
1985,,,,Feb 02,14,3.2,Mar 01,32,6.0,Mar 28,32,8.2,Apr 30,34,10.1,,,
1986,,,,Feb 01,13,2.7,Feb 27,25,5.1,Mar 28,42,6.3,Apr 30,25,6.7,,,
1987,,,,Jan 31,25,6.0,Feb 26,28,7.3,Mar 29,26,7.7,Apr 25,24,7.4,,,
1988,,,,Jan 31,34,9.1,Feb 28,39,10.4,Apr 02,45,14.2,Apr 29,41,14.1,,,
1989,,,,Jan 29,37,9.5,Feb 26,35,9.7,Apr 01,34,10.0,Apr 29,20,6.8,,,
1990,Dec 31,32,8.0,Jan 28,44,10.8,Feb 24,49,12.5,Apr 01,48,14.5,Apr 29,33,11.7,,,
1991,Dec 30,24,4.9,Jan 29,25,5.9,Feb 26,29,7.0,Mar 28,36,8.8,Apr 29,26,9.0,,,
1992,Jan 03,39,8.9,Jan 31,45,11.5,Feb 28,55,13.5,Apr 02,50,17.1,Apr 30,43,12.9,,,
1993,,,,Jan 29,41,9.9,Feb 28,47,14.0,Apr 01,51,16.0,Apr 30,31,11.2,,,
1994,,,,Jan 28,34,9.2,Feb 25,29,9.1,Mar 31,44,13.5,May 01,32,10.2,,,
1995,,,,Jan 30,39,11.0,Mar 01,46,12.7,Mar 28,54,15.5,Apr 28,36,12.9,,,
1996,,,,Jan 29,10,1.7,Feb 28,26,5.9,Mar 27,25,6.3,Apr 30,12,4.3,,,
