#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 19L05: Blue Lakes, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Blue Lakes (19L05) 
# California  SNOW COURSE/AERIAL MARKER Site - 8000 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:57 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1918,,,,,,,,,,Apr 03,93,36.5,May 01,60,22.7,,,
1919,,,,,,,,,,Apr 01,92,35.2,May 01,50,24.3,,,
1920,,,,,,,,,,Mar 29,83,30.0,Apr 29,72,29.6,Jun 01,24,13.4
1921,,,,,,,,,,,,,,,,,,
1922,,,,,,,,,,Apr 01,152,56.4,,,,,,
1923,,,,,,,,,,Apr 01,74,33.1,,,,,,
1924,,,,,,,,,,Apr 01,47,18.8,,,,,,
1925,,,,,,,,,,Apr 11,92,36.3,,,,,,
1926,,,,,,,,,,Apr 01,55,23.3,,,,,,
1927,,,,,,,,,,Apr 01,136,50.6,May 02,92,46.0,,,
1928,,,,,,,,,,Apr 03,84,30.4,,,,,,
1929,,,,,,,,,,Apr 03,50,20.4,,,,,,
1930,,,,Jan 23,63,19.5,Mar 03,84,25.6,Mar 28,70,28.4,Apr 30,57,24.8,,,
1931,,,,Jan 29,42,9.9,Mar 03,53,15.8,Mar 22,50,15.9,Apr 30,16,5.8,,,
1932,,,,Feb 03,134,38.8,Feb 24,120,45.6,Mar 26,105,46.8,Apr 29,84,38.9,,,
1933,,,,Feb 07,71,19.7,Feb 26,71,23.6,Mar 24,79,27.2,Apr 24,49,23.0,,,
1934,,,,Jan 31,43,14.0,Feb 28,68,19.2,Mar 31,38,14.9,,,,,,
1935,,,,Jan 30,69,21.3,Feb 28,65,22.8,Mar 30,82,29.8,Apr 30,91,37.1,,,
1936,,,,Jan 31,68,21.2,Feb 29,139,45.0,Mar 31,123,44.4,Apr 27,75,35.2,,,
1937,,,,Jan 31,82,17.0,Feb 26,93,31.9,Mar 30,106,38.6,Apr 28,84,36.2,,,
