#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18E18: Lake Creek  R. S. Rev, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lake Creek  R. S. Rev (18E18) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 5120 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:37 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1938,Jan 01,10,3.6,Jan 29,21,8.1,Feb 28,30,8.7,Apr 01,38,13.7,,,,,,
1939,,,,Feb 01,27,6.2,Feb 28,44,10.8,Mar 31,18,7.5,,,,,,
1940,,,,Feb 02,15,3.3,Mar 08,27,8.6,Mar 31,3,1.0,May 01,0,0.0,,,
1941,Jan 04,32,6.7,,,,Mar 03,36,13.3,Mar 30,18,7.6,,,,,,
1942,Jan 01,13,2.2,,,,,,,Mar 29,29,7.1,,,,,,
1943,,,,,,,Feb 24,46,15.9,Mar 30,38,13.7,,,,,,
1944,,,,,,,Feb 29,28,6.2,Mar 27,21,5.3,,,,,,
1945,,,,,,,Feb 26,29,8.0,Mar 26,34,9.7,,,,,,
1946,,,,,,,Feb 27,46,14.6,Mar 26,37,14.0,,,,,,
1947,,,,,,,Feb 26,18,5.2,Mar 26,10,3.9,,,,,,
1948,,,,,,,Feb 25,22,6.6,Mar 31,26,9.2,,,,,,
1949,,,,,,,Feb 27,41,12.2,Mar 30,31,10.4,,,,,,
1950,,,,,,,Feb 27,28,9.1,Mar 29,41,13.4,,,,,,
1951,,,,,,,Feb 26,35,10.4,Mar 27,32,13.6,,,,,,
1952,,,,,,,Feb 26,53,16.2,Mar 29,39,15.8,Apr 28,0,0.0,,,
1953,,,,,,,Feb 24,38,12.8,Mar 30,34,13.9,,,,,,
1954,,,,,,,Mar 02,28,9.0,Mar 29,20,6.8,,,,,,
1955,,,,Feb 09,28,8.0,Mar 02,34,9.6,Mar 28,28,9.1,Apr 28,19,8.0,,,
1956,Dec 30,16,5.7,,,,Feb 29,47,14.2,Mar 27,33,11.9,,,,,,
1957,,,,Jan 30,20,4.9,Feb 27,19,7.0,Mar 23,29,11.0,,,,,,
