#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 18E01: Anthony Lake, OR
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Anthony Lake (18E01) 
# Oregon  SNOW COURSE/AERIAL MARKER Site - 7160 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:39 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,,,,,,,,,,Mar 23,91,27.7,,,,,,
1937,,,,,,,,,,Apr 06,101,28.3,,,,,,
1938,,,,,,,,,,Mar 28,77,24.4,,,,,,
1939,Dec 29,37,8.1,Jan 28,51,13.4,Feb 25,73,21.3,Mar 28,73,29.4,,,,,,
1940,Dec 29,14,4.0,Jan 30,29,9.3,Feb 28,63,18.6,Apr 01,58,23.1,,,,,,
1941,Dec 30,37,10.9,Jan 30,46,16.1,Feb 28,58,20.6,Mar 24,57,19.1,,,,,,
1942,Dec 31,28,7.7,Jan 30,36,10.3,Feb 28,48,14.9,Mar 26,56,19.0,,,,,,
1943,Dec 31,65,25.1,Feb 03,83,30.8,Mar 01,80,33.0,Mar 25,93,37.9,,,,,,
1944,Dec 31,23,6.2,,,,Feb 29,55,13.2,Mar 29,60,21.1,,,,,,
1945,Dec 30,22,3.4,Jan 30,34,12.0,,,,Mar 27,78,22.3,,,,,,
1946,Jan 03,47,16.3,Feb 02,76,28.6,Feb 26,72,31.6,Mar 27,81,33.3,,,,,,
1947,,,,Feb 04,69,26.0,Mar 04,70,29.2,Mar 26,72,30.6,,,,,,
1948,Dec 31,48,12.6,Jan 30,50,18.0,Feb 27,68,21.4,Mar 30,85,30.7,,,,,,
1949,Jan 02,70,19.8,Jan 30,71,24.4,Feb 27,95,36.0,Mar 29,92,35.0,,,,,,
1950,Dec 30,37,8.9,,,,Mar 01,66,23.8,Mar 31,85,32.3,,,,,,
1951,Dec 29,26,9.8,Feb 03,60,14.2,Mar 03,76,26.6,Apr 01,77,29.4,,,,,,
1952,Dec 31,62,16.0,Jan 31,70,22.9,Feb 29,76,26.3,Mar 25,88,31.7,,,,,,
