#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 45M02: Worthington Glacier, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Worthington Glacier (45M02) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 2100 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:12 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1958,,,,,,,May 01,77,26.5,Apr 02,70,30.5,May 02,55,22.6,,,
1959,,,,,,,May 01,49,15.2,Apr 02,53,17.5,May 02,54,18.1,,,
1960,,,,,,,May 01,90,27.8,Apr 03,87,31.9,May 04,73,33.1,,,
1961,,,,,,,May 01,48,14.8,Mar 31,62,17.0,Apr 30,52,19.0,,,
1962,,,,,,,May 01,73,22.4,Apr 03,75,25.8,May 03,66,24.4,,,
1963,,,,,,,May 01,63,19.6,Mar 31,64,22.5,May 01,67,24.1,,,
1964,,,,,,,May 01,75,22.2,Apr 01,72,26.7,Apr 30,73,27.7,,,
1965,,,,,,,Feb 26,41,9.5,Mar 31,40,13.0,May 02,42,15.2,,,
1966,,,,,,,Mar 01,51,13.8,Apr 01,60,16.2,May 01,49,16.5,,,
1967,,,,,,,Feb 28,50,13.4,Mar 31,40,13.3,May 02,32,10.9,,,
1968,,,,,,,May 01,66,20.6,Apr 02,72,23.7,Apr 29,67,24.4,,,
1969,,,,,,,Feb 28,37,9.3,Apr 01,42,11.2,May 03,29,10.2,,,
1970,,,,,,,Feb 27,72,26.0,Mar 31,88,32.6,Apr 29,82,34.9,,,
1971,,,,,,,Mar 02,49,13.2,Apr 06,54,14.8,May 03,71,22.8,,,
1972,,,,,,,Feb 29,44,18.9,Mar 29,56,20.0,Apr 28,53,19.2,,,
1973,,,,,,,May 01,33,10.2,Mar 27,44,11.7,May 01,39,14.3,,,
1974,,,,,,,Feb 27,46,11.4,Mar 27,40,11.7,Apr 30,45,13.2,,,
1975,,,,,,,Feb 27,81,26.1,Mar 27,75,23.5,Apr 28,74,26.6,,,
1976,,,,,,,Feb 26,56,19.1,Mar 29,64,22.2,Apr 28,63,23.0,,,
