#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11G18: Montpelier Creek (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Montpelier Creek (disc) (11G18) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 6540 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:02 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,Jan 01,,2.0,Mar 01,,2.4,May 01,,4.0,Jul 01,,3.9,,,,,,
1962,Jan 01,,4.0,Mar 01,,5.1,May 01,,6.1,Mar 26,37,10.7,,,,,,
1963,Dec 27,4,1.0,Jan 28,10,2.6,Feb 26,12,4.1,Mar 27,8,4.0,Apr 29,0,0.0,,,
1964,Dec 30,13,2.5,Jan 31,23,4.5,Feb 24,24,6.1,Mar 30,31,8.7,,,,,,
1965,Jan 06,24,7.2,Jan 28,40,10.8,Feb 24,35,10.2,Mar 31,33,11.4,,,,,,
1966,Jan 04,20,4.2,Jan 27,23,5.1,Feb 28,28,6.7,Mar 28,27,8.6,,,,,,
1967,Jan 06,20,3.6,Jan 31,22,5.4,Feb 27,28,7.7,Mar 30,20,7.1,,,,,,
1968,Dec 27,14,2.7,Jan 29,19,4.2,Feb 28,21,6.8,Mar 27,20,7.3,May 03,0,0.0,,,
1969,Dec 31,21,4.2,Jan 29,23,6.6,Feb 26,34,9.4,Mar 26,35,10.7,May 01,0,0.0,,,
1970,Dec 31,13,2.1,Jan 28,24,5.8,Feb 25,22,7.2,Mar 30,22,8.1,,,,,,
1971,Dec 28,21,4.8,Jan 27,30,9.1,Feb 25,37,9.7,Mar 29,35,11.8,,,,,,
1972,Dec 30,21,4.1,Jan 28,41,10.9,Feb 29,40,12.7,Mar 28,28,12.1,,,,,,
1973,Dec 27,17,2.8,Jan 26,21,4.6,Feb 26,27,5.5,Mar 27,32,7.5,Apr 26,11,3.7,,,
1974,Jan 02,23,4.2,Jan 30,30,6.7,Feb 28,33,9.3,Mar 27,22,6.8,Apr 29,0,0.0,,,
1975,Dec 31,11,2.2,Jan 27,20,4.8,Feb 27,31,7.8,Apr 01,32,10.2,May 01,19,6.9,,,
1976,Dec 31,14,3.0,Jan 27,20,4.4,Feb 25,31,8.1,Mar 29,37,11.1,Apr 29,4,1.6,,,
1977,Jan 04,10,1.7,Feb 01,9,1.3,Feb 28,9,1.2,Mar 31,5,1.0,,,,,,
1978,Dec 28,21,5.2,Jan 30,30,9.3,Feb 27,44,13.5,Mar 28,28,10.6,Apr 27,0,0.0,,,
1979,Dec 28,18,2.5,Jan 29,29,5.8,Feb 27,37,10.4,Mar 27,26,11.6,,,,,,
1980,Dec 26,8,1.4,Jan 31,26,6.6,Feb 27,27,8.7,Mar 26,31,8.8,Apr 30,0,0.0,,,
1981,Dec 30,5,1.3,Jan 28,10,1.9,Feb 26,12,3.1,Apr 03,0,0.0,,,,,,
1982,Jan 04,33,5.9,Jan 27,35,8.4,Feb 24,32,10.0,Mar 29,33,9.3,Apr 30,8,3.4,,,
1983,Dec 29,18,3.9,Jan 28,22,5.3,Mar 02,26,7.7,Apr 01,22,7.6,Apr 28,10,4.2,,,
1984,Jan 01,,5.7,Mar 01,,6.1,May 01,,7.8,Jul 01,,8.7,Sep 01,,5.2,,,
1985,Jan 01,,5.5,Mar 01,,5.8,May 01,,7.9,Jul 01,,8.0,Sep 01,,0.0,,,
1986,Jan 01,,5.3,Mar 01,,7.5,May 01,,12.3,Jul 01,,9.7,Sep 01,,0.0,,,
1987,Jan 01,,0.9,Mar 01,,2.6,May 01,,3.6,Jul 01,,3.5,Sep 01,,0.0,,,
1988,Jan 01,,2.0,Mar 01,,5.0,May 01,,6.2,,,,,,,,,
1989,Jan 01,,3.1,Mar 01,,4.5,May 01,,7.0,,,,,,,,,
1990,Jan 01,,2.0,Mar 01,,4.3,May 01,,4.7,Jul 01,,3.6,,,,,,
1991,Jan 01,,2.3,Mar 01,,3.2,May 01,,3.6,Jul 01,,4.5,,,,,,
1992,,,,,,,,,,,,,,,,,,
