#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 10J18: Rock Creek Ranch, Disc. 89, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Rock Creek Ranch, Disc. 89 (10J18) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 7900 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:05 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1955,,,,,,,,,,Apr 11,23,7.5,,,,,,
1956,,,,,,,,,,Mar 23,21,6.3,Apr 24,0,0.0,,,
1957,,,,,,,,,,Apr 04,21,5.9,Apr 29,0,0.0,,,
1958,,,,,,,,,,Mar 28,26,7.5,May 01,0,0.0,,,
1959,,,,,,,,,,Apr 01,14,5.0,Apr 23,0,0.0,,,
1960,,,,,,,,,,Mar 24,13,5.0,Apr 27,0,0.0,,,
1961,,,,,,,,,,Mar 30,4,1.5,Apr 26,0,0.0,,,
1962,,,,,,,,,,Mar 28,36,11.5,Apr 27,0,0.0,May 31,0,0.0
1963,,,,,,,,,,Mar 22,10,3.0,Apr 30,5,1.9,May 28,0,0.0
1964,,,,,,,,,,Apr 02,14,4.0,Apr 28,3,1.0,,,
1965,,,,,,,,,,Apr 01,20,6.7,Apr 30,2,0.8,May 27,0,0.0
1966,,,,,,,,,,Apr 01,10,4.4,Apr 29,0,0.0,,,
1967,,,,,,,,,,Mar 29,21,7.4,Apr 26,9,3.7,May 31,0,0.0
1968,,,,,,,,,,Mar 27,27,8.1,Sep 01,,0.0,Jun 03,37,15.7
1969,,,,,,,,,,Mar 25,41,14.8,Apr 30,1,0.3,,,
1970,,,,,,,,,,Mar 25,14,4.9,Apr 30,3,0.7,May 27,0,0.0
1971,,,,,,,,,,Mar 30,9,3.7,Apr 29,0,0.0,May 25,0,0.0
1972,Dec 20,16,3.5,,,,,,,Mar 24,7,2.5,Apr 24,0,0.0,May 18,0,0.0
1973,Dec 21,15,2.8,,,,,,,Mar 26,32,7.8,Apr 30,9,2.6,May 31,0,0.0
1974,,,,,,,,,,Mar 29,10,3.7,Apr 29,0,0.0,May 29,0,0.0
