#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER CWP: Cottonwood Pass, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cottonwood Pass (CWP) 
# California  SNOW COURSE/AERIAL MARKER Site - 11050 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:37 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1948,,,,,,,,,,Apr 01,,3.8,,,,,,
1949,,,,,,,,,,Mar 25,,5.8,,,,,,
1950,,,,,,,,,,Mar 26,,10.9,,,,,,
1951,,,,,,,,,,Mar 25,,8.3,,,,,,
1952,,,,,,,,,,Apr 10,,32.2,,,,,,
1953,,,,,,,,,,Mar 26,,9.4,,,,,,
1954,,,,,,,,,,Mar 26,,11.8,,,,,,
1955,,,,,,,,,,Mar 28,,8.1,,,,,,
1956,,,,Feb 01,,20.1,,,,Mar 31,,12.6,Apr 27,,17.0,May 28,,7.7
1957,,,,Feb 07,,5.4,Mar 02,,10.8,Mar 27,,11.7,,,,,,
1958,,,,,,,,,,Mar 29,,20.5,May 07,,24.7,,,
1959,,,,,,,,,,Mar 29,,5.7,,,,,,
1960,,,,,,,Mar 03,,5.4,Mar 31,,4.7,,,,,,
1961,,,,,,,Mar 02,,3.4,Mar 29,,3.8,,,,,,
1962,,,,,,,Mar 03,,22.3,Mar 30,,27.0,,,,,,
1963,,,,,,,Mar 04,,14.0,Mar 29,,17.5,,,,,,
1964,,,,Feb 07,,1.5,Mar 04,,0.0,Mar 31,,1.5,,,,,,
1965,,,,Feb 02,,10.8,Feb 28,,8.9,Apr 01,,13.1,,,,,,
1966,,,,Feb 01,,9.7,Mar 02,,10.0,Mar 31,,7.1,,,,,,
1967,,,,Feb 03,,24.3,Mar 03,,22.1,Mar 31,,25.2,Apr 26,,28.8,May 23,,23.3
1968,,,,Jan 25,,5.2,Feb 22,,7.7,Mar 21,,8.9,,,,,,
1969,,,,Feb 07,,26.4,Feb 27,,37.1,Apr 01,,41.1,May 02,,36.4,Jun 01,,17.4
